f_rouge_1_T5,f_rouge_1_BERT,f_rouge_1_GPT,f_rouge_1_DistilBERT,f_rouge_1_GPT2
0.12631578653518014,0.2370370321580248,0.17266186557838636,0.2515723220458052,0.14193547887117602
0.28318583636619943,0.21052631091412755,0.2264150893445672,0.2307692257700527,0.16883116383116897
0.13725489789119583,0.20547944705479462,0.21935483372653494,0.23684210027094885,0.17333332833688903
0.34951455868413617,0.2465753374807657,0.2933333283653334,0.3246753197292967,0.20547944706980684
0.2476190434575964,0.3230769181727811,0.3670886026149656,0.3797468304630669,0.21192052480329823
0.3902438982325335,0.43243242756391526,0.45962732421588676,0.5308641925499162,0.18404907476984467
0.2407407371827847,0.277777772894483,0.28930817111032003,0.29999999500703134,0.1749999950070314
0.11904761427721107,0.31666666177916675,0.28571428108265307,0.3448275816466112,0.14062499520629898
0.3137254863033449,0.3259259209876544,0.29629629132373125,0.2893081711166489,0.1578947318429711
0.1707317033908389,0.369747894160017,0.3076923027218935,0.3880596965471153,0.1751824768288136
0.3749999962500001,0.3308270627033751,0.43708608772597696,0.4705882303114187,0.14765100171703996
0.19298245202677755,0.3333333284845621,0.342105258179536,0.4268292632934265,0.16455695702852122
0.2680412326921034,0.16393442125100796,0.23611110615837205,0.25503355212828255,0.1126760513737356
0.3035714243431123,0.29166666170138894,0.3809523759778912,0.43113771957259134,0.1935483820969824
0.3736263691341626,0.3484848435261709,0.352112671176354,0.3537414917673192,0.1751824768288136
0.35294117202614383,0.3174603124918116,0.304635756638744,0.3164556912994713,0.1379310295020216
0.1359223265227638,0.3664122089528583,0.40251571827063803,0.3999999950089992,0.16666666166748864
0.3090909053867769,0.27586206407039243,0.283950612286999,0.3353293363175446,0.1999999950070314
0.2727272686016529,0.25757575274104694,0.2564102514102564,0.2564102514102564,0.11612902725827286
0.201680667805946,0.31205673266133493,0.29761904263676314,0.29940119261931236,0.16666666166748864
0.35483870505332993,0.3205128155136424,0.2874999950007813,0.35897435397518085,0.35897435397518085
0.3283582050256182,0.397590356609087,0.45303866906748874,0.47567567069335287,0.14857142364342876
0.2972972929629292,0.2613636314727532,0.3431952614628339,0.4293785261731942,0.15730336587741464
0.16806722248428796,0.3076923027629714,0.30379746335523156,0.3190183999096692,0.15286623704004235
0.2517482483524867,0.39361701645993663,0.41304347349716447,0.47422679924327776,0.14814814331961607
0.2499999955343936,0.27067668673638984,0.2337662288202059,0.25333332836533334,0.21917807720679316
0.2874999958507813,0.26519336547480243,0.24999999508450008,0.2727272678272626,0.21052631096897517
